config,true,pred,count
dan_lambda0.1,guitar,giraffe,4
dan_lambda0.1,guitar,guitar,571
dan_lambda0.1,guitar,horse,0
dan_lambda0.1,guitar,house,6
dan_lambda0.1,guitar,person,23
dan_lambda0.1,horse,dog,84
dan_lambda0.1,horse,elephant,25
dan_lambda0.1,horse,giraffe,13
dan_lambda0.1,horse,guitar,0
dan_lambda0.1,horse,horse,500
dan_lambda0.1,horse,house,149
dan_lambda0.1,horse,person,45
dan_lambda0.1,house,dog,0
dan_lambda0.1,house,elephant,0
dan_lambda0.1,house,giraffe,0
dan_lambda0.1,house,guitar,0
dan_lambda0.1,house,horse,0
dan_lambda0.1,house,house,80
dan_lambda0.1,house,person,0
dan_lambda0.1,person,dog,0
dan_lambda0.1,person,elephant,0
dan_lambda0.1,person,giraffe,1
dan_lambda0.1,person,guitar,0
dan_lambda0.1,person,horse,0
dan_lambda0.1,person,house,38
dan_lambda0.1,person,person,121
dan_lambda10,dog,dog,0
dan_lambda10,dog,elephant,0
dan_lambda10,dog,giraffe,0
dan_lambda10,dog,guitar,0
dan_lambda10,dog,horse,0
dan_lambda10,dog,house,0
dan_lambda10,dog,person,772
dan_lambda10,elephant,dog,0
dan_lambda10,elephant,elephant,0
dan_lambda10,elephant,giraffe,0
dan_lambda10,elephant,guitar,0
dan_lambda10,elephant,horse,0
dan_lambda10,elephant,house,0
dan_lambda10,elephant,person,740
dan_lambda10,giraffe,dog,0
dan_lambda10,giraffe,elephant,0
dan_lambda10,giraffe,giraffe,0
dan_lambda10,giraffe,guitar,0
dan_lambda10,giraffe,horse,0
dan_lambda10,giraffe,house,0
dan_lambda10,giraffe,person,753
dan_lambda10,guitar,dog,0
dan_lambda10,guitar,elephant,0
dan_lambda10,guitar,giraffe,0
dan_lambda10,guitar,guitar,0
dan_lambda10,guitar,horse,0
dan_lambda10,guitar,house,0
dan_lambda10,guitar,person,608
dan_lambda10,horse,dog,0
dan_lambda10,horse,elephant,0
dan_lambda10,horse,giraffe,0
dan_lambda10,horse,guitar,0
dan_lambda10,horse,horse,0
dan_lambda10,horse,house,0
dan_lambda10,horse,person,816
dan_lambda10,house,dog,0
dan_lambda10,house,elephant,0
dan_lambda10,house,giraffe,0
dan_lambda10,house,guitar,0
dan_lambda10,house,horse,0
dan_lambda10,house,house,0
dan_lambda10,house,person,80
dan_lambda10,person,dog,0
dan_lambda10,person,elephant,0
dan_lambda10,person,giraffe,0
dan_lambda10,person,guitar,0
dan_lambda10,person,horse,0
dan_lambda10,person,house,0
dan_lambda10,person,person,160
